,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,wine_type
13234,Crémant de Bourgogne Brut Blanc de Blancs N.V.,France,Crémant de Bourgogne,Cave de Lugny,3.6,1126,11.85,N.V.,espumoso
13235,Il Fresco Blanc de Blancs Brut N.V.,Italy,Veneto,Villa Sandi,3.5,1134,6.9,N.V.,espumoso
13236,Prosecco Treviso Extra Dry N.V.,Italy,Prosecco di Treviso,Val d'Oca,3.5,1155,8.68,N.V.,espumoso
13237,Essentiel Cuvée Réservée Brut Champagne N.V.,France,Champagne,Piper-Heidsieck,3.9,1158,46.01,N.V.,espumoso
13238,Vivo Blu N.V.,Italy,Veneto,Mionetto,3.5,1163,8.39,N.V.,espumoso
13239,Valdobbiadene Prosecco Superiore Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Borgo Molino,3.7,1164,13.4,N.V.,espumoso
13240,Crémant de Loire Brut Blanc N.V.,France,Crémant de Loire,Monmousseau,3.6,1165,12.9,N.V.,espumoso
13241,'Giulio Ferrari' Riserva del Fondatore 2007,Italy,Trento,Ferrari,4.6,1191,122.27,2007,espumoso
13242,Prosecco Treviso Extra Dry N.V.,Italy,Prosecco di Treviso,Montelliana,3.7,1194,8.5,N.V.,espumoso
13243,Excellence Brut Rosé N.V.,France,Loire Valley,Bouvet-Ladubay,3.8,1204,12.0,N.V.,espumoso
13244,Concerto Lambrusco Reggiano 2017,Italy,Reggiano,Medici Ermete,3.7,1204,10.67,2017,espumoso
13245,Strada di Guia 109 Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Foss Marai,3.8,1231,13.72,N.V.,espumoso
13246,La Grande Année Brut Champagne 2008,France,Champagne,Bollinger,4.5,1237,121.15,2008,espumoso
13247,Flamingo Brut Rosé N.V.,Italy,Franciacorta,Monte Rossa,3.8,1242,27.9,N.V.,espumoso
13248,Franciacorta Brut N.V.,Italy,Franciacorta,Ricci Curbastro,3.8,1247,23.0,N.V.,espumoso
13249,Rosé de Saignée Champagne Premier Cru N.V.,France,Champagne Premier Cru,Larmandier-Bernier,4.1,1251,67.5,N.V.,espumoso
13250,Grande Reserve Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,J.M. Gobillard & Fils,3.9,1254,31.95,N.V.,espumoso
13251,Prosecco N.V.,Italy,Prosecco,Canella,3.6,1266,10.18,N.V.,espumoso
13252,Prosecco Treviso Extra Dry N.V.,Italy,Prosecco di Treviso,Viticoltori Ponte,3.6,1272,8.9,N.V.,espumoso
13253,Blanc de Blancs Brut Champagne Grand Cru 'Aÿ' N.V.,France,Champagne Grand Cru 'Aÿ',Lallier,4.0,1306,55.05,N.V.,espumoso
13254,Brut Champagne (Extra Cuvée de Réserve) 2012,France,Champagne,Pol Roger,4.4,1315,60.44,2012,espumoso
13255,Rive di San Pietro di Barbozza Valdobbiadene Prosecco Superiore N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Val d'Oca,3.9,1322,12.9,N.V.,espumoso
13256,Cava Brut Rosado N.V.,Spain,Cava,Segura Viudas,3.5,1333,9.5,N.V.,espumoso
13257,Rosé Champagne N.V.,France,Champagne,Barons de Rothschild (Lafite),4.1,1348,65.38,N.V.,espumoso
13258,Quartet Brut N.V.,United States,Anderson Valley,Roederer Estate,3.7,1354,34.9,N.V.,espumoso
13259,Perle Rosée Brut Champagne N.V.,France,Champagne,Alexandre Bonnet,3.6,1356,36.85,N.V.,espumoso
13260,Demi-Sec N.V.,Italy,Trento,Ferrari,3.7,1362,23.87,N.V.,espumoso
13261,Crémant de Loire Brut N.V.,France,Crémant de Loire,De Chanceny,3.7,1370,11.95,N.V.,espumoso
13262,Prosecco N.V.,Italy,Prosecco,Villa Teresa,3.8,1396,7.6,N.V.,espumoso
13263,Brut Rosé Champagne 2006,France,Champagne,Dom Pérignon,4.6,1414,315.0,2006,espumoso
13264,Moxxe Pinot Grigio - Verduzzo N.V.,Italy,Valpolicella,Masi,3.6,1424,15.2,N.V.,espumoso
13265,Cuvée Sublime Demi-Sec Champagne N.V.,France,Champagne,Piper-Heidsieck,4.0,1434,39.99,N.V.,espumoso
13266,Blanc de Blancs Brut Champagne Grand Cru 'Chouilly' N.V.,France,Champagne Grand Cru 'Chouilly',Legras & Haas,4.0,1435,41.93,N.V.,espumoso
13267,Arte Tradicional Brut Espumante 2017,Brazil,Vale dos Vinhedos,Casa Valduga,3.8,1440,13.47,2017,espumoso
13268,Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Autréau de Champillon,3.9,1459,23.9,N.V.,espumoso
13269,Asti N.V.,Italy,Asti,Acquesi,3.9,1487,7.96,N.V.,espumoso
13270,Grande Réserve Brut Champagne N.V.,France,Champagne,Veuve A. Devaux,3.8,1490,29.9,N.V.,espumoso
13271,Tresor Brut N.V.,France,Saumur,Bouvet-Ladubay,3.8,1508,16.2,N.V.,espumoso
13272,Cava Reserva Brut N.V.,Spain,Cava,Mont Marçal,3.6,1510,7.75,N.V.,espumoso
13273,Cava Barcelona Brut Reserva N.V.,Spain,Cava,Vilarnau,3.7,1513,11.98,N.V.,espumoso
13274,Il Soller Prosecco di Valdobbiadene Superiore Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Marsuret,3.8,1525,10.9,N.V.,espumoso
13275,Cuvée No 741 Extra Brut Champagne N.V.,France,Champagne,Jacquesson,4.1,1533,49.95,N.V.,espumoso
13276,Tradition Brut Champagne N.V.,France,Champagne,J.M. Gobillard & Fils,3.9,1540,28.95,N.V.,espumoso
13277,Cremant d'Alsace Cuvée Prestige N.V.,France,Crémant d'Alsace,René Muré,3.8,1549,15.9,N.V.,espumoso
13278,Carte Blanche Champagne (Demi-Sec) N.V.,France,Champagne,Louis Roederer,4.1,1615,44.74,N.V.,espumoso
13279,Brut Reserva N.V.,Spain,Cava,Vilarnau,3.5,1641,11.08,N.V.,espumoso
13280,Prosecco Treviso N.V.,Italy,Prosecco di Treviso,Cecilia Beretta,3.8,1673,11.8,N.V.,espumoso
13281,Gold Rosé N.V.,Italy,Oltrepò Pavese,Bottega,3.7,1679,20.5,N.V.,espumoso
13282,Cuvée 28+ Brut N.V.,Italy,Trento,Rotari,3.6,1692,13.15,N.V.,espumoso
13283,Crémant de Loire L'Extra N.V.,France,Crémant de Loire,Langlois-Chateau,3.8,1711,13.3,N.V.,espumoso
13284,Crémant d'Alsace Cuvée Julien Brut N.V.,France,Crémant d'Alsace,Dopff au Moulin,3.6,1737,13.95,N.V.,espumoso
13285,Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Col Vetoraz,3.8,1767,12.5,N.V.,espumoso
13286,Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Bepin de Eto,3.9,1772,10.5,N.V.,espumoso
13287,Méthode Cap Classique Rosé N.V.,South Africa,Western Cape,Pongrácz,3.7,1777,15.5,N.V.,espumoso
13288,Prosecco Treviso Extra Dry N.V.,Italy,Prosecco di Treviso,Le Contesse,3.7,1778,7.55,N.V.,espumoso
